None,None,Kurs­kod,Nivå,LUt,Språk,Länkar,
EITA01,Introduktion till medicin och teknik,12,G1,-,S,1,2,
FAFA65,Termodynamik| våglära och optik,7.5,G1,-,S,1,2,
FMAA01,Endimensionell analys,15,G1,-,S,1,2,3,
KOKA20,Allmän och organisk kemi,7.5,G1,-,S,3,
EDAA50,Programmeringsteknik,7.5,G1,-,S,3,4,
EXTA56,Verksamhetsförlagd utbildning i sjukvården,5,G1,-,S,3,4,
FMAB20,Linjär algebra,6,G1,-,S,4,
None,None,Kurs­kod,Nivå,LUt,Språk,Länkar,
EXTA70,Cellens biologi,7.5,G1,-,S,1,
FMAB30,Flerdimensionell analys,6,G1,-,S,1,
EXTG50,Människans fysiologi,7.5,G2,-,S,2,
FHLA05,Teknisk mekanik,7.5,G1,X,E,2,
EEMA01,Medicinteknisk design,9,G1,-,S,2,3,
FAFF45,Medicinsk fysik,8,G2,-,S,3,
EITF90,Ellära och elektronik,7.5,G2,-,S,4,
EITA50,Signalbehandling i multimedia,7.5,G1,X,S,4,
None,None,Kurs­kod,Nivå,LUt,Språk,Länkar,
FMSF70,Matematisk statistik,7.5,G2,-,S,1,
EEMF15,Sensorer och mätteknik,7.5,G2,-,S,1,
EXTG05,Biomaterial - Interaktion mellan levande vävnad och syntetiska material,5,G2,-,E,2,
FRTF01,Fysiologiska modeller och beräkningar,5,G2,X,E,2,
EEMF10,Klinisk kemisk diagnostik,5,G2,X,E1,2,
ETIF20,E-hälsa,5,G2,-,S,3,
MVKF20,Transportfenomen i människokroppen,5,G2,-,S,3,
EXTG01,Medicinska bildgivande system,5,G2,-,S,4,
None,None,Kurs­kod,Nivå,Obl./ valfr.,Ingår i åk,Fr. åk,LUt,Språk,Länkar,
EEMN21,Introduktion till mikrofluidik och lab-on-a-chip system,7.5,A,V,4,4,X,E1,1,
FAFF01,Optik och optisk design,7.5,G2,V,4,3,X,E,1,
EXTF90,Produktion av fotoner och neutroner för vetenskap,7.5,G2,V,4,4,X,E,1,
BMEF10,Sensorteknik,7.5,G2,V,4,4,-,S,1,
FAFN01,Lasrar,7.5,A,V,4,3,X,E,2,
FAFN35,Medicinsk optik,7.5,A,V,4,4,X,E,2,
EXTP45,Strålterapifysik,7.5,A,V,4,4,-,S,3,
EEMN15,Ultraljudsfysik och teknik,7.5,A,V,4,4,X,E1,3,
FFFN20,Experimentell biofysik,15,A,V,4,4,X,E,3,4,
KIMN01,Immunteknologi,7.5,A,V,4,4,X,E,4,
EEMN26,Lab-on-a-chip i biomedicinska tillämpningar,7.5,A,V,4,4,X,E1,4,
FAFN25,Atom- och molekylspektroskopi,7.5,A,V,5,4,X,E,1,
EXTQ01,Teoretisk biofysik,7.5,A,V,5,4,X,E,3,
None,None,Kurs­kod,Nivå,Obl./ valfr.,Ingår i åk,Fr. åk,LUt,Språk,Länkar,
FMAN20,Bildanalys,7.5,A,V,4,4,X,E1,1,
BMEN05,Biomekanik,7.5,A,V,4,4,X,E,1,
TNSF05,Rehabiliteringsteknik,7.5,G2,V,4,4,-,S,1,2,
BMEN10,Biomekanik för vävnader,7.5,A,V,4,4,X,E,2,
FMAN30,Medicinsk bildanalys,7.5,A,V,4,4,X,E1,2,
FHLN10,Modern experimentell mekanik ,7.5,A,V,4,4,X,E,2,
BMEF20,Neuroteknik,7.5,G2,V,4,4,-,E,3,
MAMF35,Människan i extrema miljöer,7.5,G2,V,4,4,X,E,3,4,
TNSF10,Universal design| teori och projekt,7.5,G2,V,4,4,X,E1,3,4,
MAMF30,Ergonomi,6,G2,V,4,4,-,S,4,
FHLF20,Finita elementmetoden,7.5,G2,V,4,3,X,E,4,
FHLN05,Beräkningsbaserad materialmodellering,7.5,A,V,5,4,X,E,1,
MAMN25,Interaktionsdesign,7.5,A,V,5,4,-,S,1,
MAMN45,Människa| teknik| organisation och hantering av risker,7.5,A,V,5,4,-,S,1,
